,Date,Open,High,Low,Close,Volume,VZO
108,2023-03-30 21:15:00-05:00,7.333,7.355,7.333,7.355,14.42,23.8953055672542
109,2023-03-30 21:30:00-05:00,7.355,7.355,7.355,7.355,0.0,23.895305484799334
110,2023-03-30 21:45:00-05:00,7.331,7.363,7.331,7.363,4.68,25.750588358888873
111,2023-03-30 22:00:00-05:00,7.343,7.343,7.337,7.339,4.7,22.295887306997173
112,2023-03-30 22:15:00-05:00,7.339,7.339,7.339,7.339,0.0,22.295887256914824
113,2023-03-30 22:30:00-05:00,7.366,7.37,7.366,7.37,13.99,29.925082084740517
114,2023-03-30 22:45:00-05:00,7.374,7.378,7.365,7.378,73.66,56.106638239856
115,2023-03-30 23:00:00-05:00,7.383,7.413,7.383,7.403,212.59,80.4414639690653
116,2023-03-30 23:15:00-05:00,7.38,7.38,7.356,7.363,81.5,44.90491889168872
117,2023-03-30 23:30:00-05:00,7.378,7.378,7.378,7.378,0.72,45.015302174638556
118,2023-03-30 23:45:00-05:00,7.378,7.378,7.378,7.378,0.0,45.01530213179034
119,2023-03-31 00:00:00-05:00,7.378,7.378,7.378,7.378,0.0,45.01530209465523
120,2023-03-31 00:15:00-05:00,7.356,7.356,7.351,7.351,9.05,39.6142277749363
121,2023-03-31 00:30:00-05:00,7.36,7.36,7.36,7.36,1.78,40.120360948495176
122,2023-03-31 00:45:00-05:00,7.343,7.343,7.329,7.331,30.77,20.05029376462809
123,2023-03-31 01:00:00-05:00,7.323,7.323,7.321,7.321,7.57,15.359802066446852
124,2023-03-31 01:15:00-05:00,7.329,7.329,7.329,7.329,12.81,21.359155774194914
125,2023-03-31 01:30:00-05:00,7.356,7.356,7.356,7.356,0.72,21.719000733073415
126,2023-03-31 01:45:00-05:00,7.378,7.385,7.378,7.381,6.62,25.343183815538563
127,2023-03-31 02:00:00-05:00,7.381,7.381,7.381,7.381,0.0,25.343183808884255
128,2023-03-31 02:15:00-05:00,7.356,7.378,7.304,7.378,52.79,-15.96291847350724
129,2023-03-31 02:30:00-05:00,7.383,7.436,7.343,7.421,225.44,55.80396104300237
130,2023-03-31 02:45:00-05:00,7.436,7.525,7.425,7.516,250.65,75.36375013610217
131,2023-03-31 03:00:00-05:00,7.517,7.586,7.411,7.481,4185.26,-81.59248697138307
132,2023-03-31 03:15:00-05:00,7.473,7.474,7.441,7.441,67.74,-81.89511227149316
133,2023-03-31 03:30:00-05:00,7.431,7.431,7.404,7.411,70.84,-82.24728535448048
134,2023-03-31 03:45:00-05:00,7.445,7.453,7.445,7.446,21.91,-80.9908829298027
135,2023-03-31 04:00:00-05:00,7.456,7.468,7.446,7.468,67.93,-76.63465344575825
136,2023-03-31 04:15:00-05:00,7.446,7.469,7.436,7.445,111.81,-77.65601975371726
137,2023-03-31 04:30:00-05:00,7.423,7.423,7.423,7.423,0.71,-77.66317387137968
138,2023-03-31 04:45:00-05:00,7.413,7.413,7.412,7.412,6.82,-77.74216035034148
139,2023-03-31 05:00:00-05:00,7.445,7.445,7.445,7.445,0.71,-77.66669297712636
140,2023-03-31 05:15:00-05:00,7.446,7.446,7.446,7.446,2.85,-77.31798973983594
141,2023-03-31 05:30:00-05:00,7.446,7.446,7.446,7.446,0.0,-77.31798973709783
142,2023-03-31 05:45:00-05:00,7.423,7.429,7.423,7.429,61.29,-78.52477041116441
143,2023-03-31 06:00:00-05:00,7.43,7.445,7.43,7.445,51.76,-69.72550404330495
144,2023-03-31 06:15:00-05:00,7.457,7.476,7.457,7.476,7.66,-68.30893559611475
145,2023-03-31 06:30:00-05:00,7.476,7.487,7.476,7.487,23.5,-63.479020646546985
146,2023-03-31 06:45:00-05:00,7.487,7.508,7.487,7.508,72.6,-48.30803949325587
147,2023-03-31 07:00:00-05:00,7.513,7.517,7.513,7.516,38.89,-40.262722944496495
148,2023-03-31 07:15:00-05:00,7.49,7.49,7.49,7.49,0.71,-40.330909094978
149,2023-03-31 07:30:00-05:00,7.473,7.57,7.473,7.564,764.61,41.97221167212009
150,2023-03-31 07:45:00-05:00,7.558,7.591,7.534,7.586,58.94,44.84916691809309
151,2023-03-31 08:00:00-05:00,7.586,7.613,7.565,7.565,403.8,4.0640371790821455
152,2023-03-31 08:15:00-05:00,7.601,7.643,7.596,7.626,89.59,10.514344389772361
153,2023-03-31 08:30:00-05:00,7.631,7.672,7.623,7.64,420.42,34.397475026351984
154,2023-03-31 08:45:00-05:00,7.623,7.654,7.601,7.601,469.99,-0.021480529593791105
155,2023-03-31 09:00:00-05:00,7.601,7.601,7.601,7.601,0.0,-0.021480529593688506
156,2023-03-31 09:15:00-05:00,7.623,7.623,7.623,7.623,0.7,0.0292868332553567
157,2023-03-31 09:30:00-05:00,7.636,7.636,7.636,7.636,3.37,0.31036111910311026
158,2023-03-31 09:45:00-05:00,7.63,7.635,7.63,7.635,5.65,-0.2322702161168503
159,2023-03-31 10:00:00-05:00,7.646,7.665,7.646,7.665,55.69,5.576898800171581
160,2023-03-31 10:15:00-05:00,7.623,7.623,7.594,7.604,142.88,-9.884478431453815
161,2023-03-31 10:30:00-05:00,7.592,7.592,7.571,7.577,187.3,-26.226134242011053
162,2023-03-31 10:45:00-05:00,7.565,7.566,7.565,7.566,84.76,-32.607439136283666
163,2023-03-31 11:00:00-05:00,7.578,7.578,7.564,7.572,66.49,-22.979096351588538
164,2023-03-31 11:15:00-05:00,7.562,7.562,7.523,7.523,76.4,-29.742442782933942
165,2023-03-31 11:30:00-05:00,7.53,7.533,7.521,7.526,52.06,-21.36330863508979
166,2023-03-31 11:45:00-05:00,7.545,7.6,7.545,7.592,1417.97,59.94188988007173
167,2023-03-31 12:00:00-05:00,7.577,7.606,7.577,7.6,160.2,63.1592709254924
168,2023-03-31 12:15:00-05:00,7.608,7.619,7.608,7.619,31.19,63.81221327062565
169,2023-03-31 12:30:00-05:00,7.591,7.591,7.551,7.551,17.62,61.94134675878482
170,2023-03-31 12:45:00-05:00,7.542,7.549,7.537,7.549,42.72,56.92752495111604
171,2023-03-31 13:00:00-05:00,7.549,7.549,7.549,7.549,0.0,56.92752495108851
172,2023-03-31 13:15:00-05:00,7.579,7.597,7.579,7.597,47.62,58.819672106315046
173,2023-03-31 13:30:00-05:00,7.601,7.616,7.601,7.616,16.53,59.53170709506091
174,2023-03-31 13:45:00-05:00,7.616,7.616,7.616,7.616,0.0,59.53170709504216
175,2023-03-31 14:00:00-05:00,7.616,7.616,7.616,7.616,0.0,59.53170709502591
176,2023-03-31 14:15:00-05:00,7.603,7.606,7.603,7.606,272.92,10.897680600201936
177,2023-03-31 14:30:00-05:00,7.619,7.639,7.619,7.639,21.96,13.350162699246852
178,2023-03-31 14:45:00-05:00,7.612,7.612,7.61,7.61,7.95,12.061744309947997
179,2023-03-31 15:00:00-05:00,7.621,7.621,7.621,7.621,3.93,12.628217410478229
180,2023-03-31 15:15:00-05:00,7.621,7.621,7.621,7.621,0.0,12.62821741047654
181,2023-03-31 15:30:00-05:00,7.645,7.648,7.645,7.648,14.03,15.22380853991843
182,2023-03-31 15:45:00-05:00,7.655,7.655,7.643,7.643,40.24,4.909759672207514
183,2023-03-31 16:00:00-05:00,7.643,7.643,7.643,7.643,0.0,4.9097596722070875
184,2023-03-31 16:15:00-05:00,7.623,7.634,7.62,7.634,33.6,-4.5849354904125175
185,2023-03-31 16:30:00-05:00,7.644,7.646,7.643,7.646,13.49,-0.3765270956567195
186,2023-03-31 16:45:00-05:00,7.638,7.642,7.623,7.633,155.37,-35.088198737703145
187,2023-03-31 17:00:00-05:00,7.601,7.605,7.601,7.605,3.99,-35.75152971650264
188,2023-03-31 17:15:00-05:00,7.623,7.631,7.623,7.625,42.45,-20.62012958577083
189,2023-03-31 17:30:00-05:00,7.646,7.646,7.646,7.646,0.69,-20.368497205950323
190,2023-03-31 17:45:00-05:00,7.646,7.646,7.646,7.646,0.0,-20.368497205949676
191,2023-03-31 18:00:00-05:00,7.646,7.646,7.646,7.646,0.0,-20.36849720594911
192,2023-03-31 18:15:00-05:00,7.623,7.623,7.623,7.623,0.69,-20.622878866677357
193,2023-03-31 18:30:00-05:00,7.613,7.613,7.601,7.601,35.7,-33.336174611411266
194,2023-03-31 18:45:00-05:00,7.599,7.599,7.574,7.587,52.74,-47.63301820476033
195,2023-03-31 19:00:00-05:00,7.593,7.608,7.592,7.608,257.36,33.12305473201973
196,2023-03-31 19:15:00-05:00,7.617,7.623,7.601,7.609,285.67,60.674240893698865
197,2023-03-31 19:30:00-05:00,7.583,7.583,7.565,7.565,9.85,58.083230363377595
198,2023-03-31 19:45:00-05:00,7.559,7.564,7.559,7.564,12.34,54.48218849735822
199,2023-03-31 20:00:00-05:00,7.559,7.559,7.554,7.554,7.34,52.104185808892986
200,2023-03-31 20:15:00-05:00,7.554,7.554,7.554,7.554,0.0,52.10418580889259
201,2023-03-31 20:30:00-05:00,7.554,7.554,7.554,7.554,0.0,52.10418580889224
202,2023-03-31 20:45:00-05:00,7.579,7.579,7.579,7.579,0.7,52.211956056996556
203,2023-03-31 21:00:00-05:00,7.601,7.627,7.596,7.627,16.19,54.91897808674632
204,2023-03-31 21:15:00-05:00,7.61,7.61,7.601,7.601,52.08,28.005327266077405
205,2023-03-31 21:30:00-05:00,7.579,7.579,7.574,7.574,4.82,25.673819987620636
206,2023-03-31 21:45:00-05:00,7.601,7.601,7.601,7.601,0.7,25.89998526740811
207,2023-03-31 22:00:00-05:00,7.579,7.579,7.579,7.579,0.7,25.4594957621315
208,2023-03-31 22:15:00-05:00,7.565,7.565,7.565,7.565,4.91,22.004735364577705
209,2023-03-31 22:30:00-05:00,7.557,7.557,7.551,7.553,32.18,0.9771278227585051
210,2023-03-31 22:45:00-05:00,7.553,7.553,7.553,7.553,0.0,0.9771278227585032
211,2023-03-31 23:00:00-05:00,7.579,7.593,7.579,7.593,2.08,2.4243254654151984
212,2023-03-31 23:15:00-05:00,7.582,7.582,7.582,7.582,2.73,0.206459661223911
213,2023-03-31 23:30:00-05:00,7.582,7.582,7.582,7.582,0.0,0.20645966122391077
214,2023-03-31 23:45:00-05:00,7.6,7.6,7.6,7.6,5.0,5.211318201095408
215,2023-04-01 00:00:00-05:00,7.6,7.6,7.6,7.6,0.0,5.211318201095404
216,2023-04-01 00:15:00-05:00,7.557,7.557,7.557,7.557,0.7,4.236923728525843
217,2023-04-01 00:30:00-05:00,7.571,7.571,7.571,7.571,30.1,34.38653348699248
218,2023-04-01 00:45:00-05:00,7.579,7.579,7.579,7.579,0.7,34.9362040191722
219,2023-04-01 01:00:00-05:00,7.579,7.579,7.579,7.579,0.0,34.93620401917219
220,2023-04-01 01:15:00-05:00,7.557,7.557,7.519,7.519,34.24,-12.69418809623124
221,2023-04-01 01:30:00-05:00,7.524,7.524,7.49,7.513,153.92,-69.15970909441764
222,2023-04-01 01:45:00-05:00,7.535,7.551,7.533,7.551,13.11,-59.050202621160444
223,2023-04-01 02:00:00-05:00,7.557,7.557,7.557,7.557,3.31,-56.32847706652079
224,2023-04-01 02:15:00-05:00,7.557,7.563,7.557,7.558,87.43,-2.743353832598396
225,2023-04-01 02:30:00-05:00,7.566,7.568,7.566,7.568,7.98,0.8363648257792224
226,2023-04-01 02:45:00-05:00,7.568,7.568,7.568,7.568,0.0,0.8363648257792224
227,2023-04-01 03:00:00-05:00,7.544,7.544,7.544,7.544,1.44,-0.0006779014328718241
228,2023-04-01 03:15:00-05:00,7.535,7.535,7.535,7.535,0.7,-0.46411796005301637
229,2023-04-01 03:30:00-05:00,7.535,7.535,7.535,7.535,0.0,-0.46411796005301637
230,2023-04-01 03:45:00-05:00,7.55,7.55,7.55,7.55,2.25,1.4895868538228556
231,2023-04-01 04:00:00-05:00,7.557,7.557,7.557,7.557,0.7,2.172510746403886
232,2023-04-01 04:15:00-05:00,7.573,7.573,7.573,7.573,0.53,2.761428265832111
233,2023-04-01 04:30:00-05:00,7.57,7.57,7.57,7.57,3.31,-1.5110617185701976
234,2023-04-01 04:45:00-05:00,7.57,7.57,7.57,7.57,0.0,-1.511061718570197
235,2023-04-01 05:00:00-05:00,7.57,7.57,7.57,7.57,0.0,-1.511061718570197
236,2023-04-01 05:15:00-05:00,7.57,7.57,7.57,7.57,0.0,-1.5110617185701969
