,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
28,43,2023-03-30 05:30:00-05:00,1799.99,1801.26,1798.49,1800.83,98.7494,0.21390979563072524,1792.4500303030306,1809.2430603179641,1775.6570002880972,0.49388354770256626,1812.8,1793.47,38.07553026383822,44.09258765495556,0,30.371079078329583
29,44,2023-03-30 05:45:00-05:00,1801.22,1804.02,1799.63,1803.2,79.1432,0.21778787878787834,1792.3944444444448,1809.096528957185,1775.6923599317047,0.49168177118117135,1812.8,1793.47,50.33626487325429,40.71391619244695,1,35.59202239733238
30,45,2023-03-30 06:00:00-05:00,1803.22,1804.29,1801.62,1801.62,45.2642,0.21619241443108167,1792.4178445883442,1808.984989538137,1775.8506996385515,0.49067256013977045,1809.72,1793.47,50.153846153845315,46.18854709697927,0,29.18822912013349
31,46,2023-03-30 06:15:00-05:00,1801.82,1806.55,1801.82,1804.08,73.6502,0.22075971322849133,1792.3493351063833,1808.8549811002918,1775.8436891124747,0.488013022385559,1808.32,1793.47,71.44781144781122,57.31264082497028,0,34.94665216737205
32,47,2023-03-30 06:30:00-05:00,1804.13,1807.04,1803.41,1806.54,131.1747,0.23049174989144514,1792.2001105442178,1808.7397806293443,1775.6604404590912,0.4832702158929155,1808.32,1793.47,88.01346801346813,69.87170853837489,0,44.266128801328826
33,48,2023-03-30 06:45:00-05:00,1807.33,1807.33,1804.04,1804.49,137.1785,0.233494897959183,1792.15306122449,1808.6369337489111,1775.669188700069,0.48097742318608055,1807.33,1793.47,79.50937950937995,79.65688632355311,-1,23.004572562938925
34,49,2023-03-30 07:00:00-05:00,1804.85,1805.08,1798.47,1800.35,148.2546,0.22586122448979515,1792.2752000000003,1808.6064799353433,1775.9439200646573,0.4808372532012953,1807.33,1793.47,49.639249639249144,72.38736572069907,0,3.9077146242891008
35,50,2023-03-30 07:15:00-05:00,1799.84,1803.27,1796.95,1799.43,155.1012,0.21649864253393605,1792.428122171946,1808.6016385053917,1776.2546058385,0.48080477730936133,1807.33,1793.47,43.001443001443576,57.383357383357556,0,-12.492943658391418
36,51,2023-03-30 07:30:00-05:00,1799.34,1805.45,1798.46,1804.75,450.953,0.2192862631264401,1792.3816618287376,1808.5100797566286,1776.2532439008467,0.4781520293990764,1807.33,1793.47,81.38528138528177,58.008658008658166,1,26.45701812991712
37,52,2023-03-30 07:45:00-05:00,1805.47,1806.2,1802.83,1804.32,159.8512,0.22040880503144591,1792.3625786163525,1808.430040611896,1776.295116620809,0.47602833614340706,1807.33,1795.46,74.64195450716076,66.3428929646287,0,10.769204439864623
38,53,2023-03-30 08:00:00-05:00,1804.16,1804.61,1801.27,1803.63,121.7319,0.21957194587383236,1792.3770841750845,1808.3634267432644,1776.3907416069046,0.4744897746202235,1807.33,1796.95,64.3545279383443,73.46058794359561,-1,-0.1184738931609947
39,54,2023-03-30 08:15:00-05:00,1804.07,1804.72,1800.63,1802.37,206.3419,0.21594083694083643,1792.441233766234,1808.318819534595,1776.5636479978732,0.47367307406912834,1807.33,1796.95,52.215799614642656,63.73742735338257,0,-16.223686359753717
40,55,2023-03-30 08:30:00-05:00,1801.26,1804.12,1799.09,1800.25,368.2,0.20829425837320534,1792.578872180451,1808.3203365548147,1776.8374078060874,0.4735285027127747,1807.33,1796.95,31.79190751445079,49.454078355812584,0,-37.1065760540509
41,56,2023-03-30 08:45:00-05:00,1799.48,1801.96,1793.71,1797.77,507.0668,0.19654589058853997,1792.7942589231702,1808.3951898847242,1777.1933279616162,0.4734936528441969,1807.33,1793.71,29.809104258443302,37.93893712917892,0,-54.95347096227801
42,57,2023-03-30 09:00:00-05:00,1798.04,1798.83,1786.23,1787.97,989.9686,0.16844412316589222,1793.3188252483928,1809.0183411298165,1777.6193093669692,0.467093562839938,1807.33,1786.23,8.24644549763041,23.2824857568415,0,-72.52538432722953
43,58,2023-03-30 09:15:00-05:00,1788.12,1797.6,1787.8,1794.69,984.7209,0.15420923436586773,1793.5892881355933,1809.1784707058455,1778.000105565341,0.46674296049724284,1807.33,1786.23,40.094786729858164,26.050112161977292,1,-19.183466971897666
44,59,2023-03-30 09:30:00-05:00,1794.39,1798.42,1789.35,1794.5,531.9769,0.14078688524590155,1793.848786885246,1809.332621561165,1778.364952209327,0.4665028638907139,1807.33,1786.23,39.194312796208614,29.178515007899062,0,-32.24334872137014
45,60,2023-03-30 09:45:00-05:00,1793.98,1795.89,1792.28,1795.03,243.9388,0.1292596509783182,1794.0754891591753,1809.448599328694,1778.7023789896566,0.46651852047049075,1807.33,1786.23,41.70616113744072,40.3317535545025,0,-21.82674976814636
46,61,2023-03-30 10:00:00-05:00,1795.2,1796.7,1791.97,1793.79,454.4807,0.11670922414444336,1794.3264976958526,1809.6097062487063,1779.043289142999,0.46638325880725795,1807.33,1786.23,35.82938388625582,38.90995260663505,-1,-33.14666347233647
47,62,2023-03-30 10:15:00-05:00,1793.68,1795.23,1786.68,1787.93,410.4677,0.09642281105990773,1794.738988095238,1810.1046225024902,1779.3733536879859,0.46309712228786887,1806.2,1786.23,8.512769153730812,28.682771392475786,0,-41.91219571360108
48,63,2023-03-30 10:30:00-05:00,1787.43,1792.02,1784.44,1790.21,401.3504,0.08112912087912094,1795.0550576923076,1810.4136926659623,1779.696422718653,0.4621709616105087,1806.2,1784.44,26.516544117646983,23.619565719211206,1,-23.62469877111352
49,64,2023-03-30 10:45:00-05:00,1790.73,1790.84,1784.03,1789.69,440.3918,0.06636363636363646,1795.3651328671328,1810.7294622975426,1780.0008034367231,0.46137554287641225,1806.2,1784.03,25.529995489400374,20.18643625359272,0,-34.337778687882064
50,65,2023-03-30 11:00:00-05:00,1789.65,1789.65,1780.61,1783.95,555.4791,0.045022022753366225,1795.820420624152,1811.426184701811,1780.2146565464927,0.45662689631152764,1806.2,1780.61,13.051973427120464,21.69950434472261,-1,-45.46999671811189
51,66,2023-03-30 11:15:00-05:00,1783.88,1792.11,1778.68,1787.54,1095.1315,0.030203926889616213,1796.1414793678664,1811.8104883192864,1780.4724704164464,0.4558602853283454,1804.72,1778.68,34.02457757296433,24.202182163161723,1,-4.982389646123847
52,67,2023-03-30 11:30:00-05:00,1788.03,1789.96,1786.1,1787.77,386.5226,0.01691090582891178,1796.433925831202,1812.1506667617668,1780.7171849006372,0.45568007903027247,1804.72,1778.68,34.90783410138222,27.32812836715567,0,5.705637857189211
53,68,2023-03-30 11:45:00-05:00,1787.01,1787.53,1784.51,1785.66,164.2401,0.002098648154914349,1796.7647329192546,1812.602622788133,1780.9268430503762,0.4548019528855682,1804.12,1778.68,27.43710691823925,32.12317286419527,-1,0.6801633718520675
54,69,2023-03-30 12:00:00-05:00,1784.85,1787.57,1784.56,1785.04,139.2216,-0.012230775960108268,1797.089533199195,1813.0630959358245,1781.1159704625657,0.45414767434472775,1801.96,1778.68,27.319587628865584,29.88817621616235,0,-3.793398849793384
55,70,2023-03-30 12:15:00-05:00,1785.44,1785.7,1776.04,1778.1,482.6851,-0.03351408450704218,1797.5790492957747,1814.039074804824,1781.1190237867254,0.4485287657161931,1798.83,1776.04,9.039052215883935,21.265248920996257,0,-18.31337687831696
56,71,2023-03-30 12:30:00-05:00,1777.68,1777.94,1762.49,1769.21,1107.1011,-0.06318251977619126,1798.2713127853883,1815.8271321728791,1780.7154933978975,0.4345851101986162,1798.42,1762.49,18.70303367659342,18.35389117378098,1,-41.62864614131217
